ID,Prob1
0, 0.29
1, 0.25
2, 0.34
3, 0.23
4, 0.08
5, 0.44
6, 0.24
7, 0.71
8, 0.80
9, 0.21
10, 0.27
11, 0.15
12, 0.31
13, 0.39
14, 0.38
15, 0.37
16, 0.31
17, 0.09
18, 0.16
19, 0.65
20, 0.50
21, 0.16
22, 0.39
23, 0.17
24, 0.25
25, 0.52
26, 0.30
27, 0.10
28, 0.18
29, 0.73
30, 0.08
31, 0.27
32, 0.24
33, 0.20
34, 0.46
35, 0.47
36, 0.40
37, 0.44
38, 0.48
39, 0.35
40, 0.33
41, 0.05
42, 0.31
43, 0.58
44, 0.41
45, 0.39
46, 0.43
47, 0.56
48, 0.40
49, 0.34
50, 0.70
51, 0.19
52, 0.33
53, 0.19
54, 0.63
55, 0.12
56, 0.56
57, 0.18
58, 0.47
59, 0.24
60, 0.26
61, 0.62
62, 0.26
63, 0.12
64, 0.14
65, 0.23
66, 0.81
67, 0.12
68, 0.16
69, 0.37
70, 0.76
71, 0.81
72, 0.34
73, 0.32
74, 0.20
75, 0.63
76, 0.16
77, 0.36
78, 0.19
79, 0.23
80, 0.28
81, 0.10
82, 0.28
83, 0.40
84, 0.48
85, 0.16
86, 0.50
87, 0.20
88, 0.27
89, 0.41
90, 0.16
91, 0.26
92, 0.13
93, 0.58
94, 0.22
95, 0.34
96, 0.34
97, 0.19
98, 0.25
99, 0.56
100, 0.18
101, 0.57
102, 0.35
103, 0.25
104, 0.32
105, 0.33
106, 0.31
107, 0.21
108, 0.22
109, 0.25
110, 0.38
111, 0.38
112, 0.08
113, 0.26
114, 0.79
115, 0.07
116, 0.11
117, 0.21
118, 0.33
119, 0.42
120, 0.23
121, 0.34
122, 0.72
123, 0.56
124, 0.21
125, 0.52
126, 0.29
127, 0.21
128, 0.32
129, 0.19
130, 0.41
131, 0.50
132, 0.09
133, 0.19
134, 0.15
135, 0.41
136, 0.18
137, 0.18
138, 0.29
139, 0.07
140, 0.23
141, 0.40
142, 0.57
143, 0.12
144, 0.15
145, 0.30
146, 0.32
147, 0.21
148, 0.26
149, 0.54
150, 0.55
151, 0.20
152, 0.61
153, 0.27
154, 0.45
155, 0.35
156, 0.20
157, 0.28
158, 0.19
159, 0.26
160, 0.52
161, 0.07
162, 0.22
163, 0.28
164, 0.19
165, 0.36
166, 0.27
167, 0.29
168, 0.23
169, 0.14
170, 0.25
171, 0.30
172, 0.30
173, 0.59
174, 0.17
175, 0.37
176, 0.26
177, 0.21
178, 0.56
179, 0.21
180, 0.63
181, 0.67
182, 0.21
183, 0.29
184, 0.65
185, 0.18
186, 0.68
187, 0.80
188, 0.31
189, 0.18
190, 0.97
191, 0.19
192, 0.43
193, 0.21
194, 0.25
195, 0.31
196, 0.07
197, 0.35
198, 0.20
199, 0.11
200, 0.16
201, 0.23
202, 0.89
203, 0.14
204, 0.53
205, 0.20
206, 0.23
207, 0.32
208, 0.29
209, 0.67
210, 0.32
211, 0.36
212, 0.26
213, 0.53
214, 0.46
215, 0.15
216, 0.42
217, 0.21
218, 0.12
219, 0.34
220, 0.38
221, 0.34
222, 0.19
223, 0.47
224, 0.34
225, 0.17
226, 0.40
227, 0.27
228, 0.37
229, 0.14
230, 0.18
231, 0.75
232, 0.51
233, 0.24
234, 0.41
235, 0.13
236, 0.25
237, 0.25
238, 0.60
239, 0.20
240, 0.35
241, 0.13
242, 0.30
243, 0.26
244, 0.25
245, 0.18
246, 0.14
247, 0.45
248, 0.34
249, 0.22
250, 0.91
251, 0.20
252, 0.22
253, 0.20
254, 0.33
255, 0.18
256, 0.44
257, 0.20
258, 0.91
259, 0.14
260, 0.69
261, 0.30
262, 0.32
263, 0.18
264, 0.12
265, 0.35
266, 0.22
267, 0.36
268, 0.26
269, 0.46
270, 0.38
271, 0.22
272, 0.16
273, 0.32
274, 0.58
275, 0.30
276, 0.85
277, 0.91
278, 0.20
279, 0.19
280, 0.69
281, 0.21
282, 0.19
283, 0.27
284, 0.29
285, 0.74
286, 0.36
287, 0.33
288, 0.28
289, 0.26
290, 0.23
291, 0.31
292, 0.24
293, 0.42
294, 0.12
295, 0.14
296, 0.41
297, 0.09
298, 0.17
299, 0.73
300, 0.34
301, 0.45
302, 0.44
303, 0.75
304, 0.12
305, 0.33
306, 0.22
307, 0.16
308, 0.09
309, 0.72
310, 0.28
311, 0.27
312, 0.51
313, 0.18
314, 0.47
315, 0.31
316, 0.08
317, 0.36
318, 0.23
319, 0.66
320, 0.15
321, 0.35
322, 0.32
323, 0.28
324, 0.27
325, 0.40
326, 0.47
327, 0.48
328, 0.25
329, 0.13
330, 0.13
331, 0.46
332, 0.43
333, 0.24
334, 0.43
335, 0.17
336, 0.22
337, 0.95
338, 0.36
339, 0.33
340, 0.31
341, 0.26
342, 0.08
343, 0.09
344, 0.26
345, 0.67
346, 0.67
347, 0.09
348, 0.13
349, 0.62
350, 0.14
351, 0.29
352, 0.19
353, 0.35
354, 0.52
355, 0.23
356, 0.16
357, 0.32
358, 0.11
359, 0.29
360, 0.17
361, 0.20
362, 0.19
363, 0.43
364, 0.24
365, 0.74
366, 0.28
367, 0.20
368, 0.21
369, 0.30
370, 0.26
371, 0.14
372, 0.39
373, 0.13
374, 0.36
375, 0.27
376, 0.42
377, 0.09
378, 0.66
379, 0.34
380, 0.46
381, 0.17
382, 0.57
383, 0.62
384, 0.20
385, 0.30
386, 0.39
387, 0.53
388, 0.23
389, 0.26
390, 0.17
391, 0.19
392, 0.59
393, 0.41
394, 0.38
395, 0.18
396, 0.49
397, 0.07
398, 0.24
399, 0.83
400, 0.66
401, 0.29
402, 0.12
403, 0.24
404, 0.37
405, 0.25
406, 0.46
407, 0.43
408, 0.26
409, 0.28
410, 0.06
411, 0.28
412, 0.40
413, 0.43
414, 0.20
415, 0.24
416, 0.37
417, 0.23
418, 0.23
419, 0.57
420, 0.42
421, 0.27
422, 0.23
423, 0.24
424, 0.26
425, 0.30
426, 0.11
427, 0.47
428, 0.30
429, 0.03
430, 0.40
431, 0.57
432, 0.20
433, 0.18
434, 0.63
435, 0.42
436, 0.44
437, 0.37
438, 0.40
439, 0.18
440, 0.47
441, 0.35
442, 0.72
443, 0.18
444, 0.15
445, 0.11
446, 0.34
447, 0.23
448, 0.89
449, 0.14
450, 0.27
451, 0.63
452, 0.60
453, 0.65
454, 0.37
455, 0.09
456, 0.77
457, 0.44
458, 0.45
459, 0.24
460, 0.40
461, 0.16
462, 0.33
463, 0.64
464, 0.20
465, 0.18
466, 0.15
467, 0.33
468, 0.33
469, 0.35
470, 0.28
471, 0.12
472, 0.19
473, 0.34
474, 0.56
475, 0.34
476, 0.16
477, 0.26
478, 0.32
479, 0.23
480, 0.32
481, 0.18
482, 0.41
483, 0.57
484, 0.19
485, 0.67
486, 0.74
487, 0.57
488, 0.38
489, 0.63
490, 0.31
491, 0.46
492, 0.09
493, 0.13
494, 0.30
495, 0.49
496, 0.84
497, 0.69
498, 0.72
499, 0.54
500, 0.35
501, 0.37
502, 0.35
503, 0.20
504, 0.52
505, 0.08
506, 0.32
507, 0.06
508, 0.35
509, 0.41
510, 0.44
511, 0.21
512, 0.31
513, 0.10
514, 0.46
515, 0.58
516, 0.29
517, 0.58
518, 0.48
519, 0.78
520, 0.48
521, 0.32
522, 0.27
523, 0.32
524, 0.30
525, 0.71
526, 0.26
527, 0.33
528, 0.72
529, 0.42
530, 0.13
531, 0.31
532, 0.29
533, 0.30
534, 0.65
535, 0.44
536, 0.28
537, 0.23
538, 0.36
539, 0.52
540, 0.19
541, 0.04
542, 0.78
543, 0.38
544, 0.08
545, 0.43
546, 0.35
547, 0.28
548, 0.36
549, 0.08
550, 0.69
551, 0.29
552, 0.54
553, 0.22
554, 0.41
555, 0.15
556, 0.19
557, 0.23
558, 0.37
559, 0.32
560, 0.32
561, 0.23
562, 0.05
563, 0.25
564, 0.38
565, 0.27
566, 0.14
567, 0.53
568, 0.23
569, 0.21
570, 0.35
571, 0.18
572, 0.19
573, 0.32
574, 0.31
575, 0.33
576, 0.17
577, 0.40
578, 0.33
579, 0.29
580, 0.61
581, 0.12
582, 0.52
583, 0.38
584, 0.27
585, 0.26
586, 0.57
587, 0.47
588, 0.14
589, 0.51
590, 0.07
591, 0.19
592, 0.78
593, 0.28
594, 0.25
595, 0.33
596, 0.31
597, 0.40
598, 0.20
599, 0.26
600, 0.48
601, 0.27
602, 0.19
603, 0.78
604, 0.31
605, 0.10
606, 0.59
607, 0.06
608, 0.35
609, 0.19
610, 0.20
611, 0.58
612, 0.45
613, 0.48
614, 0.25
615, 0.17
616, 0.20
617, 0.19
618, 0.21
619, 0.22
620, 0.58
621, 0.60
622, 0.23
623, 0.34
624, 0.26
625, 0.51
626, 0.25
627, 0.23
628, 0.37
629, 0.67
630, 0.47
631, 0.30
632, 0.34
633, 0.23
634, 0.19
635, 0.72
636, 0.39
637, 0.31
638, 0.40
639, 0.27
640, 0.25
641, 0.36
642, 0.46
643, 0.25
644, 0.26
645, 0.22
646, 0.21
647, 0.13
